"ID","Módulo","Caso de prueba","Técnica de prueba","Tipo de prueba","Prioridad","Riesgo asociado","Precondición","Datos de entrada","Pasos","Resultado esperado","Resultado obtenido","Estado","Observaciones"
"CP-LB-005","Libros","Registrar libro con stock negativo","Valores límite","Funcional","Media","Inventario inconsistente","Formulario UpBooks disponible","stock=-1; available=0; resto de campos completos","1. Abrir formulario de libro. 2. Completar todos los campos. 3. Ingresar -1 en Stock. 4. Pulsar Subir.","El sistema registra el libro porque Utils.isNumeric acepta enteros negativos y no existe una validacion adicional.","Pendiente de ejecución.","Diseñado","Comportamiento real actual del programa."
"CP-LB-006","Libros","Registrar libro con disponibles mayores que stock","Tabla de decisión","Funcional","Media","Disponibilidad superior al stock","Formulario UpBooks disponible","stock=3; available=5; resto de campos completos","1. Abrir formulario de libro. 2. Completar todos los campos. 3. Ingresar stock menor que disponibles. 4. Pulsar Subir.","El sistema registra el libro porque no compara available contra stock antes de guardar.","Pendiente de ejecución.","Diseñado","Se ajusta a la implementacion real."
"CP-LB-007","Libros","Buscar libro por texto y editar libro seleccionado","Caja negra","Funcional","Media","Falla de consulta o edición","Existen libros registrados","criterio=Clean; nuevo autor=R. Martin","1. Abrir modulo Libros. 2. Escribir texto en el buscador. 3. Pulsar Buscar. 4. Seleccionar una fila. 5. Pulsar Editar. 6. Modificar un campo y guardar.","La tabla se recarga con DAOBooksImpl.listar(texto) y, al guardar, el libro seleccionado se modifica mediante DAOBooksImpl.modificar().","Pendiente de ejecución.","Diseñado","Integra dos funcionalidades reales del modulo."
"CP-LB-008","Libros","Eliminar libro con fila seleccionada o intentar editar sin selección","Tabla de decisión","Funcional","Media","Acciones inconsistentes sobre catálogo","Modulo Libros abierto","Iteracion A: fila seleccionada. Iteracion B: ninguna fila seleccionada.","1. Abrir modulo Libros. 2. Iteracion A: seleccionar una fila y pulsar Borrar. 3. Iteracion B: sin seleccionar fila, pulsar Editar.","Iteracion A: el sistema elimina el libro y remueve la fila. Iteracion B: el sistema muestra el mensaje para seleccionar el libro a editar.","Pendiente de ejecución.","Diseñado","Describe dos comportamientos reales del modulo."
"CP-PR-001","Préstamos","Registrar préstamo válido con usuario existente y libro disponible","Transición de estados","Funcional","Alta","Falla en la operación principal","Existe usuario valido; existe libro valido con available mayor o igual a 1; no existe prestamo activo igual","folio=1; book_id=10","1. Abrir Prestamos. 2. Ingresar Folio Usuario y Libro ID validos. 3. Pulsar Prestar. 4. Revisar lending y disponibilidad del libro.","El sistema registra un prestamo con date_out igual a Utils.getFechaActual(), reduce available en 1 y muestra mensaje de exito.","Pendiente de ejecución.","Diseñado","Caso critico del flujo principal real."
"CP-PR-002","Préstamos","Intentar préstamo con Folio Usuario o Libro ID vacío","Tabla de decisión","Funcional","Media","Datos incompletos en el préstamo","Formulario Lendings disponible","Iteracion A: folio vacio, book_id=10. Iteracion B: folio=1, book_id vacio.","1. Abrir Prestamos. 2. Ejecutar cada iteracion. 3. Pulsar Prestar.","En ambas iteraciones el sistema muestra el mensaje 'Debe llenar todos los campos.'","Pendiente de ejecución.","Diseñado","Validacion real del primer if."
"CP-PR-003","Préstamos","Intentar préstamo con Folio Usuario no numérico o Libro ID no numérico","Partición de equivalencia","Funcional","Media","Formato inválido de identificadores","Formulario Lendings disponible","Iteracion A: folio=ABC, book_id=10. Iteracion B: folio=1, book_id=XYZ.","1. Abrir Prestamos. 2. Ejecutar cada iteracion. 3. Pulsar Prestar.","En ambas iteraciones el sistema muestra el mensaje de que Folio e ID del libro deben ser numeros enteros.","Pendiente de ejecución.","Diseñado","Comportamiento real del segundo if."
"CP-PR-004","Préstamos","Intentar préstamo con IDs menores o iguales a 0","Valores límite","Funcional","Media","Identificadores fuera de rango","Formulario Lendings disponible","Iteracion A: folio=0, book_id=10. Iteracion B: folio=1, book_id=-1.","1. Abrir Prestamos. 2. Ejecutar cada iteracion. 3. Pulsar Prestar.","El sistema muestra el mensaje de que Folio e ID del libro deben ser mayor que 0.","Pendiente de ejecución.","Diseñado","Corresponde al tercer bloque de validacion."
"CP-PR-005","Préstamos","Intentar préstamo con usuario inexistente","Partición de equivalencia","Funcional","Media","Movimiento asociado a usuario inexistente","No existe usuario con el folio usado","folio=99999; book_id=10","1. Abrir Prestamos. 2. Ingresar folio inexistente y libro valido. 3. Pulsar Prestar.","El sistema muestra el mensaje 'No se encontro ningun usuario con ese folio.'","Pendiente de ejecución.","Diseñado","Basado en DAOUsersImpl.getUserById."
"CP-PR-006","Préstamos","Intentar préstamo con libro inexistente","Partición de equivalencia","Funcional","Media","Movimiento asociado a libro inexistente","Existe usuario valido; no existe libro con el ID usado","folio=1; book_id=99999","1. Abrir Prestamos. 2. Ingresar usuario valido y libro inexistente. 3. Pulsar Prestar.","El sistema muestra el mensaje 'No se encontro ningun libro con ese ID.'","Pendiente de ejecución.","Diseñado","Basado en DAOBooksImpl.getBookById."
"CP-PR-007","Préstamos","Intentar préstamo con libro sin disponibilidad","Pruebas basadas en riesgo","Funcional","Alta","Sobreprestamo y desajuste de inventario","Existe usuario valido; existe libro con available menor que 1","folio=1; book_id=20","1. Abrir Prestamos. 2. Ingresar usuario valido y libro sin disponibilidad. 3. Pulsar Prestar.","El sistema bloquea la operacion y muestra que ya no hay mas libros disponibles con esa ID para prestar.","Pendiente de ejecución.","Diseñado","Caso critico confirmado en el codigo."
"CP-PR-008","Préstamos","Intentar préstamo duplicado del mismo libro al mismo usuario","Caja blanca","Funcional","Alta","Duplicidad de préstamos activos","Existe un prestamo activo previo del mismo libro para el mismo usuario","folio=1; book_id=10","1. Abrir Prestamos. 2. Ingresar usuario y libro que ya tienen prestamo activo. 3. Pulsar Prestar.","El sistema consulta getLending() y muestra que esa persona ya cuenta con el prestamo de ese mismo libro.","Pendiente de ejecución.","Diseñado","Rama real del control de duplicados."
"CP-PR-009","Préstamos","Registrar préstamo con disponibilidad inicial igual a 1","Valores límite","Funcional","Alta","Agotamiento del último ejemplar disponible","Existe usuario valido; existe libro con available=1; no existe prestamo activo igual","folio=2; book_id=30","1. Abrir Prestamos. 2. Ingresar usuario y libro con una sola unidad disponible. 3. Pulsar Prestar. 4. Revisar available del libro.","El sistema registra el prestamo y actualiza available de 1 a 0.","Pendiente de ejecución.","Diseñado","Caso real de borde del inventario."
"CP-DV-001","Devoluciones","Registrar devolución válida de un préstamo activo","Transición de estados","Funcional","Alta","Falla en cierre de movimiento","Existe un prestamo activo entre el usuario y el libro","folio=1; book_id=10","1. Abrir Devoluciones. 2. Ingresar folio y libro validos con prestamo activo. 3. Pulsar Devolver. 4. Revisar lending y libro.","El sistema actualiza date_return con Utils.getFechaActual(), incrementa available en 1 y muestra mensaje de exito.","Pendiente de ejecución.","Diseñado","Caso critico del flujo real."
"CP-DV-002","Devoluciones","Intentar devolución con Folio Usuario o Libro ID vacío","Tabla de decisión","Funcional","Media","Datos incompletos en devolución","Formulario Returns disponible","Iteracion A: folio vacio, book_id=10. Iteracion B: folio=1, book_id vacio.","1. Abrir Devoluciones. 2. Ejecutar cada iteracion. 3. Pulsar Devolver.","En ambas iteraciones el sistema muestra el mensaje 'Debe llenar todos los campos.'","Pendiente de ejecución.","Diseñado","Validacion real del primer if."
"CP-DV-003","Devoluciones","Intentar devolución con datos no numéricos","Partición de equivalencia","Funcional","Media","Formato inválido de identificadores","Formulario Returns disponible","Iteracion A: folio=ABC, book_id=10. Iteracion B: folio=1, book_id=XYZ.","1. Abrir Devoluciones. 2. Ejecutar cada iteracion. 3. Pulsar Devolver.","En ambas iteraciones el sistema muestra el mensaje de que Folio e ID del libro deben ser numeros enteros.","Pendiente de ejecución.","Diseñado","Comportamiento real del segundo if."
"CP-DV-004","Devoluciones","Intentar devolución con IDs menores o iguales a 0","Valores límite","Funcional","Media","Identificadores fuera de rango","Formulario Returns disponible","Iteracion A: folio=0, book_id=10. Iteracion B: folio=1, book_id=-1.","1. Abrir Devoluciones. 2. Ejecutar cada iteracion. 3. Pulsar Devolver.","El sistema muestra el mensaje de que Folio e ID del libro deben ser mayor que 0.","Pendiente de ejecución.","Diseñado","Comportamiento real del tercer bloque de validacion."
"CP-DV-005","Devoluciones","Intentar devolución con usuario inexistente","Partición de equivalencia","Funcional","Media","Cierre de movimiento sobre usuario inexistente","No existe usuario con el folio usado","folio=99999; book_id=10","1. Abrir Devoluciones. 2. Ingresar folio inexistente y libro valido. 3. Pulsar Devolver.","El sistema muestra el mensaje 'No se encontro ningun usuario con ese folio.'","Pendiente de ejecución.","Diseñado","Basado en DAOUsersImpl.getUserById."
"CP-DV-006","Devoluciones","Intentar devolución con libro inexistente","Partición de equivalencia","Funcional","Media","Cierre de movimiento sobre libro inexistente","Existe usuario valido; no existe libro con el ID usado","folio=1; book_id=99999","1. Abrir Devoluciones. 2. Ingresar usuario valido y libro inexistente. 3. Pulsar Devolver.","El sistema muestra el mensaje 'No se encontro ningun libro con ese ID.'","Pendiente de ejecución.","Diseñado","Basado en DAOBooksImpl.getBookById."
"CP-DV-007","Devoluciones","Intentar devolución sin préstamo activo","Pruebas basadas en riesgo","Funcional","Alta","Alteración indebida del inventario","Existe usuario valido; existe libro valido; no existe prestamo activo entre ambos","folio=1; book_id=40","1. Abrir Devoluciones. 2. Ingresar usuario y libro sin prestamo activo. 3. Pulsar Devolver.","El sistema muestra el mensaje indicando que no se pudo encontrar el prestamo correspondiente a los datos ingresados.","Pendiente de ejecución.","Diseñado","Caso critico confirmado."
"CP-DV-008","Devoluciones","Registrar devolución tardía con sanción","Caja blanca","Funcional","Alta","Cálculo incorrecto de sanciones","Existe prestamo activo con date_out anterior en mas de 5 dias","folio=3; book_id=50","1. Preparar en base de datos un prestamo activo con fecha de salida de mas de 5 dias. 2. Abrir Devoluciones. 3. Ingresar datos validos. 4. Pulsar Devolver. 5. Revisar usuario.","El sistema registra la devolucion, incrementa sanctions en 1, suma a sanc_money los dias de retraso por 10 y muestra mensaje de usuario sancionado.","Pendiente de ejecución.","Diseñado","Describe exactamente la logica actual de Returns."
"CP-RP-001","Reportes","Cargar reporte de préstamos al abrir la vista","Caja negra","Funcional","Alta","Falla de trazabilidad operativa","Existen registros o no en lendings","Sin entrada manual","1. Abrir modulo Reportes.","Al construirse la vista se ejecuta LoadLendings() y la tabla se carga con el resultado de DAOLendingsImpl.listar().","Pendiente de ejecución.","Diseñado","Comportamiento real del constructor."
"CP-RP-002","Reportes","Actualizar reporte mediante el botón Actualizar","Caja negra","Funcional","Media","Datos desactualizados en reporte","Modulo Reportes abierto","Sin entrada manual","1. Abrir Reportes. 2. Pulsar Actualizar.","El sistema vuelve a ejecutar LoadLendings() y recarga las filas del JTable.","Pendiente de ejecución.","Diseñado","Comportamiento real del boton jButton2."
"CP-RP-003","Reportes","Verificar columnas mostradas en la tabla de reportes","Caja negra","Funcional","Media","Presentación incorrecta de datos","Modulo Reportes abierto","Sin entrada manual","1. Abrir Reportes. 2. Revisar los encabezados del JTable.","La tabla muestra las columnas User ID, Book ID, Fecha de Salida y Fecha de Entrega.","Pendiente de ejecución.","Diseñado","Titulos definidos en el DefaultTableModel."
"CP-RP-004","Reportes","Visualizar préstamos con y sin fecha de entrega","Caja negra","Funcional","Baja","Interpretación incorrecta del estado del préstamo","Existen registros activos y/o devueltos en lendings","Registros con date_return nulo y con fecha","1. Abrir Reportes. 2. Revisar filas cargadas.","La columna Fecha de Entrega muestra el valor date_return que retorna la base de datos, sea nulo o con fecha.","Pendiente de ejecución.","Diseñado","Se describe sin asumir formato visual adicional."
